film,Prediction,Actual
A Soldier's Story,0,0
Four Weddings and a Funeral,0,0
You Can't Take It with You,0,1
Schindler's List,0,1
Funny Girl,0,0
Amadeus,0,1
The Philadelphia Story,0,0
Inglourious Basterds,0,0
For Whom the Bell Tolls,0,0
The Fighter,0,0
Mad Max: Fury Road,0,0
Three Smart Girls,0,0
Five Easy Pieces,0,0
Ivanhoe,0,0
Secrets & Lies,0,0
Apollo 13,0,0
A Touch of Class,0,0
Our Town,0,0
Roma,0,0
Decision before Dawn,0,0
True Grit,0,0
The King and I,0,0
Wings,0,1
Manchester by the Sea,0,0
The Elephant Man,0,0
Dodsworth,0,0
Mutiny on the Bounty,0,1
Little Women,0,0
Terms of Endearment,1,1
Cavalcade,0,1
The Razor's Edge,0,0
The English Patient,1,1
Four Daughters,0,0
Tom Jones,0,1
Boys Town,0,0
Annie Hall,0,1
The Sand Pebbles,0,0
Cleopatra,0,0
The Hours,0,0
The Revenant,1,0
Prizzi's Honor,0,0
The Ten Commandments,0,0
King Solomon's Mines,0,0
Disraeli,0,0
Good Will Hunting,0,0
A Farewell to Arms,0,0
The Broadway Melody,0,1
Avatar,0,0
Black Swan,0,0
Alfie,0,0
"All This, and Heaven Too",0,0
The Snake Pit,0,0
Captains Courageous,0,0
Sunset Blvd.,1,0
Seven Brides for Seven Brothers,0,0
Cimarron,0,1
The Martian,0,0
Erin Brockovich,0,0
Precious: Based on the Novel 'Push' by Sapphire,0,0
The Insider,0,0
One Hundred Men and a Girl,0,0
Lenny,0,0
Guess Who's Coming to Dinner,0,0
I Am a Fugitive from a Chain Gang,0,0
Dead End,0,0
Kramer vs. Kramer,0,1
Becket,0,0
The King's Speech,0,1
A Few Good Men,0,0
Here Comes the Navy,0,0
Wilson,0,0
The Grand Budapest Hotel,0,0
Gentleman's Agreement,0,1
Alexander's Ragtime Band,0,0
Fatal Attraction,0,0
Places in the Heart,0,0
Top Hat,0,0
The Awful Truth,0,0
Picnic,0,0
The Lion in Winter,0,0
Amour,0,0
The Big House,0,0
Pygmalion,0,0
Moulin Rouge,0,0
The Right Stuff,0,0
The Good Earth,0,0
Lawrence of Arabia,0,1
The Guns of Navarone,0,0
The Big Short,0,0
"Goodbye, Mr. Chips",0,0
Watch on the Rhine,0,0
12 Years a Slave,0,1
It's a Wonderful Life,0,0
Three Coins in the Fountain,0,0
Scent of a Woman,0,0
Boyhood,0,0
Chinatown,1,0
All Quiet on the Western Front,0,1
Milk,0,0
American Hustle,0,0
Nicholas and Alexandra,0,0
Bohemian Rhapsody,0,0
Gladiator,1,1
Grand Illusion,0,0
The Kids Are All Right,0,0
Marriage Story,0,0
How the West Was Won,0,0
Midnight Cowboy,0,1
The More the Merrier,0,0
Quo Vadis,0,0
Spellbound,0,0
The Long Voyage Home,0,0
Django Unchained,0,0
The Towering Inferno,0,0
A Letter to Three Wives,0,0
A Star Is Born,0,0
Apocalypse Now,0,0
Stage Door,0,0
Parasite,0,1
12 Angry Men,0,0
The Robe,0,0
Chicago,1,1
The French Connection,0,1
Casablanca,0,1
Gigi,0,1
Lost Horizon,0,0
Brooklyn,0,0
Suspicion,0,0
Gone with the Wind,1,1
The Postman (Il Postino),0,0
The Great Ziegfeld,0,1
East Lynne,0,0
Johnny Belinda,1,0
From Here to Eternity,1,1
The Adventures of Robin Hood,0,0
There Will Be Blood,0,0
Sergeant York,0,0
The Mission,0,0
Her,0,0
She Done Him Wrong,0,0
7th Heaven,0,0
Jojo Rabbit,0,0
All That Jazz,0,0
Coal Miner's Daughter,0,0
The Goodbye Girl,0,0
Broadcast News,0,0
